Speaker	Statement	Rating
Jeb Bush	Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare	5
Jeb Bush	By some estimates, as few as 2 percent of the 50,000 (Central American) children who have crossed the border illegally this year have been sent home	1
Jeb Bush	You can fill out your tax return in Estonia online in five minutes	0
Jeb Bush	We reduced the government workforce by 13,000, 11 percent, during my eight years	0
Jeb Bush	I released all my emails	3
Jeb Bush	ISIS didn't exist when my brother was president. Al-Qaida in Iraq was wiped out when my brother was president	3
Jeb Bush	Immigrants are more fertile	1
Jeb Bush	In Florida, for eight years we cut taxes every year, totaling $19 billion	2
Jeb Bush	There are over 100 pipelines between the United States and Canada right now	3
Jeb Bush	In Massachusetts, Gov. Romney narrowed the gap between students of different races	2
Jeb Bush	Florida has a law like (Indiana's Religious Freedom Restoration Act	2
Jeb Bush	We have an 80 percent graduation rate in high school after spending more per student than any country in the world other than Liechtenstein, I think, or Luxembourg and a couple other small countries	0
Jeb Bush	U.S. teenagers have now fallen behind their counterparts in Ireland, Poland and even Vietnam in math and science	1
Jeb Bush	If you look at the number of illegal immigrants coming into the country, it is net zero. It's been that way now for almost two years	0
Jeb Bush	Millions of people have given up looking for work altogether	1
Ken Legler	Cell phone numbers go public this month	4
Jake Tapper	The Obama administration has used the Espionage Act to go after whistleblowers who leaked to journalists ... more than all previous administrations combined	0
S.E. Cupp	The CDC issued a report commissioned by President Obama just earlier this year, and it found some very inconvenient facts. Armed citizens are less likely harmed by attackers. Effectiveness of gun control laws is mixed. Gun buybacks don't work	2
S.E. Cupp	There are actually only 30 countries that practice birthright citizenship	0
Morgan Griffith	From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent	0
Morgan Griffith	A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention, Control and Countermeasure Program when dealing with spilt milk -- the same regulations oil and natural gas producers must follow	4
Morgan Griffith	Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan	3
Morgan Griffith	Not even expensive bottled water, like Perrier and Evian, are of good enough quality to pump out of mines in Southwest Virginia, according to the EPA regulation	3
Morgan Griffith	The Government Accountability Office estimated (Obamacare) will add to the long-term deficit by $6.2 trillion	3
Morgan Griffith	On most things except witch trials, Virginia will always have been first	4
Richard Shelby	The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit	4
Robert Menendez	10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed	0
Robert Menendez	When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state	0
Robert Menendez	New Jersey alone, my home state, is facing a ten-and-a-half billion dollar shortfall in its 2012 fiscal budget. This means more cuts in state and local spending for education, which means our kids are hurt	4
Robert Menendez	For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin	1
State Tea Party Express	In Wisconsin, Gov. Scott Walker has created a manufacturing-led jobs recovery. 30,000 new jobs were created this year, with 15,000 created in the struggling manufacturing sector	2
BookerFail	Three years after getting the $100 million (from Mark Zuckerberg), less than two-thirds of students in Cory Booker's Newark graduate	3
Jobs Ohio	In the past year alone, Ohio businesses have created more jobs than almost every other state in the country	0
Curtis Martin	I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow.  We played in at least 15 inches of that	4
Ellyn Bogdanoff	Florida is considered the fourth-largest gambling state in the nation	2
Ellyn Bogdanoff	I said no to higher taxes and fees	3
Teresa Fedor	Toledo  is fourth in the nation behind much bigger cities  Miami, Las Vegas, Portland  in number of human trafficking arrests and rescues	3
Michael Solomon	Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent	3
Ken Paxton	At the beginning of World War II, we had a relatively small army, smaller than Portugals	0
Dana Milbank	Americans admire Glenn Beck more than they admire the pope	3
Lisa Tomasso	Rhode Islands exports have increased by 53 percent in the last two years	0
Loranne Ausley	(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor	4
Loranne Ausley	(Jeff) Atwater's bank was so weak that just a few months ago it was shut down by the FDIC	2
Lou Ann Zelenik	Diane Black voted to fund Obamacare	4
Mike Polensek	We're worse than a Third World country in terms of water quality and the way we treat our sewage	2
Mike Polensek	It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity	0
Vladimir Putin	In some of the states in the U.S., homosexuality remains a felony	4
Einer Elhauge	In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm	1
Salmon for All	This ban will only apply to Oregon commercial fishermen. Washington commercial fishermen would still be allowed to use gillnets on the Columbia River	2
Metro Atlanta Voter Education Network	[O]ver 200,000 ordinary citizens were given the opportunity to identify projects they preferred	0
Vincent Barrella	Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons	1
Michelle Litjens	Taxpayers pay for roughly 45 percent of all births in Wisconsin! And 60 percent of the births in Milwaukee	0
Robert Henneke	Obamas Clean Power Plan ... eliminates coal-fired power plants	3
BuzzFeed	In Providence, R.I., it's illegal to sell toothpaste and a toothbrush to the same customer on a Sunday	5
Michael Tyler	[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia	3
Providence City Council	Semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield	4
Mike Plant	No one in the country has ever built a brand new sports facility and created this kind of development at the same time	1
Barry Hinckley	There's no money in Social Security	4
